id,category,year,gender,question,answer,explanation,source,source_field
1,優勝校,2012,女子,【優勝校】2012年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2012-女子.json,teams[rank=1].team
2,優勝校,2012,女子,【優勝校】2012年女子の優勝校は「岱明」である。 ○か×か。,×,文字起こしでは1位は玉名で、岱明は2位。,input/aragyoku/transcripts/2012-女子.json,teams[rank=1].team
3,優勝校,2012,男子,【優勝校】2012年男子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2012-男子.json,teams[rank=1].team
4,優勝校,2012,男子,【優勝校】2012年男子の優勝校は「荒尾海陽」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾海陽は2位。,input/aragyoku/transcripts/2012-男子.json,teams[rank=1].team
5,優勝校,2013,女子,【優勝校】2013年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2013-女子.json,teams[rank=1].team
6,優勝校,2013,女子,【優勝校】2013年女子の優勝校は「荒尾海陽」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾海陽は2位。,input/aragyoku/transcripts/2013-女子.json,teams[rank=1].team
7,優勝校,2013,男子,【優勝校】2013年男子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2013-男子.json,teams[rank=1].team
8,優勝校,2013,男子,【優勝校】2013年男子の優勝校は「荒尾海陽」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾海陽は2位。,input/aragyoku/transcripts/2013-男子.json,teams[rank=1].team
9,優勝校,2014,男子,【優勝校】2014年男子の優勝校は「菊水」である。 ○か×か。,○,文字起こしでは1位が菊水。,input/aragyoku/transcripts/2014-男子.json,teams[rank=1].team
10,優勝校,2014,男子,【優勝校】2014年男子の優勝校は「玉名」である。 ○か×か。,×,文字起こしでは1位は菊水で、玉名は2位。,input/aragyoku/transcripts/2014-男子.json,teams[rank=1].team
11,優勝校,2015,女子,【優勝校】2015年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2015-女子.json,teams[rank=1].team
12,優勝校,2015,女子,【優勝校】2015年女子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾三は2位。,input/aragyoku/transcripts/2015-女子.json,teams[rank=1].team
13,優勝校,2015,男子,【優勝校】2015年男子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2015-男子.json,teams[rank=1].team
14,優勝校,2015,男子,【優勝校】2015年男子の優勝校は「荒尾海陽」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾海陽は2位。,input/aragyoku/transcripts/2015-男子.json,teams[rank=1].team
15,優勝校,2016,女子,【優勝校】2016年女子の優勝校は「荒尾三」である。 ○か×か。,○,文字起こしでは1位が荒尾三。,input/aragyoku/transcripts/2016-女子.json,teams[rank=1].team
16,優勝校,2016,女子,【優勝校】2016年女子の優勝校は「玉名」である。 ○か×か。,×,文字起こしでは1位は荒尾三で、玉名は2位。,input/aragyoku/transcripts/2016-女子.json,teams[rank=1].team
17,優勝校,2016,男子,【優勝校】2016年男子の優勝校は「菊水」である。 ○か×か。,○,文字起こしでは1位が菊水。,input/aragyoku/transcripts/2016-男子.json,teams[rank=1].team
18,優勝校,2016,男子,【優勝校】2016年男子の優勝校は「南関」である。 ○か×か。,×,文字起こしでは1位は菊水で、南関は2位。,input/aragyoku/transcripts/2016-男子.json,teams[rank=1].team
19,優勝校,2017,女子,【優勝校】2017年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2017-女子.json,teams[rank=1].team
20,優勝校,2017,女子,【優勝校】2017年女子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾三は2位。,input/aragyoku/transcripts/2017-女子.json,teams[rank=1].team
21,優勝校,2017,男子,【優勝校】2017年男子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2017-男子.json,teams[rank=1].team
22,優勝校,2017,男子,【優勝校】2017年男子の優勝校は「菊水」である。 ○か×か。,×,文字起こしでは1位は玉名で、菊水は2位。,input/aragyoku/transcripts/2017-男子.json,teams[rank=1].team
23,優勝校,2018,女子,【優勝校】2018年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2018-女子.json,teams[rank=1].team
24,優勝校,2018,女子,【優勝校】2018年女子の優勝校は「菊水」である。 ○か×か。,×,文字起こしでは1位は玉名で、菊水は2位。,input/aragyoku/transcripts/2018-女子.json,teams[rank=1].team
25,優勝校,2018,男子,【優勝校】2018年男子の優勝校は「南関」である。 ○か×か。,○,文字起こしでは1位が南関。,input/aragyoku/transcripts/2018-男子.json,teams[rank=1].team
26,優勝校,2018,男子,【優勝校】2018年男子の優勝校は「荒尾四」である。 ○か×か。,×,文字起こしでは1位は南関で、荒尾四は2位。,input/aragyoku/transcripts/2018-男子.json,teams[rank=1].team
27,優勝校,2019,女子,【優勝校】2019年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2019-女子.json,teams[rank=1].team
28,優勝校,2019,女子,【優勝校】2019年女子の優勝校は「菊水」である。 ○か×か。,×,文字起こしでは1位は玉名で、菊水は2位。,input/aragyoku/transcripts/2019-女子.json,teams[rank=1].team
29,優勝校,2019,男子,【優勝校】2019年男子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2019-男子.json,teams[rank=1].team
30,優勝校,2019,男子,【優勝校】2019年男子の優勝校は「玉東」である。 ○か×か。,×,文字起こしでは1位は玉名で、玉東は2位。,input/aragyoku/transcripts/2019-男子.json,teams[rank=1].team
31,優勝校,2020,女子,【優勝校】2020年女子の優勝校は「玉名」である。 ○か×か。,○,文字起こしでは1位が玉名。,input/aragyoku/transcripts/2020-女子.json,teams[rank=1].team
32,優勝校,2020,女子,【優勝校】2020年女子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は玉名で、荒尾三は2位。,input/aragyoku/transcripts/2020-女子.json,teams[rank=1].team
33,優勝校,2020,男子,【優勝校】2020年男子の優勝校は「玉南」である。 ○か×か。,○,文字起こしでは1位が玉南。,input/aragyoku/transcripts/2020-男子.json,teams[rank=1].team
34,優勝校,2020,男子,【優勝校】2020年男子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は玉南で、荒尾三は2位。,input/aragyoku/transcripts/2020-男子.json,teams[rank=1].team
35,優勝校,2021,女子,【優勝校】2021年女子の優勝校は「荒尾四」である。 ○か×か。,○,文字起こしでは1位が荒尾四。,input/aragyoku/transcripts/2021-女子.json,teams[rank=1].team
36,優勝校,2021,女子,【優勝校】2021年女子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は荒尾四で、荒尾三は2位。,input/aragyoku/transcripts/2021-女子.json,teams[rank=1].team
37,優勝校,2021,男子,【優勝校】2021年男子の優勝校は「菊水」である。 ○か×か。,○,文字起こしでは1位が菊水。,input/aragyoku/transcripts/2021-男子.json,teams[rank=1].team
38,優勝校,2021,男子,【優勝校】2021年男子の優勝校は「荒尾四」である。 ○か×か。,×,文字起こしでは1位は菊水で、荒尾四は2位。,input/aragyoku/transcripts/2021-男子.json,teams[rank=1].team
39,優勝校,2022,女子,【優勝校】2022年女子の優勝校は「長洲」である。 ○か×か。,○,文字起こしでは1位が長洲。,input/aragyoku/transcripts/2022-女子.json,teams[rank=1].team
40,優勝校,2022,女子,【優勝校】2022年女子の優勝校は「荒尾四」である。 ○か×か。,×,文字起こしでは1位は長洲で、荒尾四は2位。,input/aragyoku/transcripts/2022-女子.json,teams[rank=1].team
41,優勝校,2022,男子,【優勝校】2022年男子の優勝校は「荒尾四」である。 ○か×か。,○,文字起こしでは1位が荒尾四。,input/aragyoku/transcripts/2022-男子.json,teams[rank=1].team
42,優勝校,2022,男子,【優勝校】2022年男子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は荒尾四で、荒尾三は2位。,input/aragyoku/transcripts/2022-男子.json,teams[rank=1].team
43,優勝校,2023,女子,【優勝校】2023年女子の優勝校は「荒尾三」である。 ○か×か。,○,文字起こしでは1位が荒尾三。,input/aragyoku/transcripts/2023-女子.json,teams[rank=1].team
44,優勝校,2023,女子,【優勝校】2023年女子の優勝校は「荒尾四」である。 ○か×か。,×,文字起こしでは1位は荒尾三で、荒尾四は2位。,input/aragyoku/transcripts/2023-女子.json,teams[rank=1].team
45,優勝校,2023,男子,【優勝校】2023年男子の優勝校は「菊水」である。 ○か×か。,○,文字起こしでは1位が菊水。,input/aragyoku/transcripts/2023-男子.json,teams[rank=1].team
46,優勝校,2023,男子,【優勝校】2023年男子の優勝校は「荒尾四」である。 ○か×か。,×,文字起こしでは1位は菊水で、荒尾四は2位。,input/aragyoku/transcripts/2023-男子.json,teams[rank=1].team
47,優勝校,2024,女子,【優勝校】2024年女子の優勝校は「南関」である。 ○か×か。,○,文字起こしでは1位が南関。,input/aragyoku/transcripts/2024-女子.json,teams[rank=1].team
48,優勝校,2024,女子,【優勝校】2024年女子の優勝校は「荒尾三」である。 ○か×か。,×,文字起こしでは1位は南関で、荒尾三は2位。,input/aragyoku/transcripts/2024-女子.json,teams[rank=1].team
49,優勝校,2024,男子,【優勝校】2024年男子の優勝校は「南関」である。 ○か×か。,○,文字起こしでは1位が南関。,input/aragyoku/transcripts/2024-男子.json,teams[rank=1].team
50,優勝校,2024,男子,【優勝校】2024年男子の優勝校は「玉高附属」である。 ○か×か。,×,文字起こしでは1位は南関で、玉高附属は2位。,input/aragyoku/transcripts/2024-男子.json,teams[rank=1].team
51,総合記録,2012,女子,【総合記録】2012年女子で優勝した玉名の総合記録は41:07である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が41:07。,input/aragyoku/transcripts/2012-女子.json,teams[rank=1].total
52,総合記録,2012,女子,【総合記録】2012年女子で優勝した玉名の総合記録は41:08である。 ○か×か。,×,文字起こしの1位行では玉名は41:07であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2012-女子.json,teams[rank=1].total
53,総合記録,2012,男子,【総合記録】2012年男子で優勝した玉名の総合記録は63:47である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が63:47。,input/aragyoku/transcripts/2012-男子.json,teams[rank=1].total
54,総合記録,2012,男子,【総合記録】2012年男子で優勝した玉名の総合記録は63:48である。 ○か×か。,×,文字起こしの1位行では玉名は63:47であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2012-男子.json,teams[rank=1].total
55,総合記録,2013,女子,【総合記録】2013年女子で優勝した玉名の総合記録は41:03である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が41:03。,input/aragyoku/transcripts/2013-女子.json,teams[rank=1].total
56,総合記録,2013,女子,【総合記録】2013年女子で優勝した玉名の総合記録は41:04である。 ○か×か。,×,文字起こしの1位行では玉名は41:03であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2013-女子.json,teams[rank=1].total
57,総合記録,2013,男子,【総合記録】2013年男子で優勝した玉名の総合記録は63:03である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が63:03。,input/aragyoku/transcripts/2013-男子.json,teams[rank=1].total
58,総合記録,2013,男子,【総合記録】2013年男子で優勝した玉名の総合記録は63:04である。 ○か×か。,×,文字起こしの1位行では玉名は63:03であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2013-男子.json,teams[rank=1].total
59,総合記録,2014,男子,【総合記録】2014年男子で優勝した菊水の総合記録は63:38である。 ○か×か。,○,文字起こしの1位行では菊水の総合記録が63:38。,input/aragyoku/transcripts/2014-男子.json,teams[rank=1].total
60,総合記録,2014,男子,【総合記録】2014年男子で優勝した菊水の総合記録は63:39である。 ○か×か。,×,文字起こしの1位行では菊水は63:38であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2014-男子.json,teams[rank=1].total
61,総合記録,2015,女子,【総合記録】2015年女子で優勝した玉名の総合記録は41:31である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が41:31。,input/aragyoku/transcripts/2015-女子.json,teams[rank=1].total
62,総合記録,2015,女子,【総合記録】2015年女子で優勝した玉名の総合記録は41:32である。 ○か×か。,×,文字起こしの1位行では玉名は41:31であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2015-女子.json,teams[rank=1].total
63,総合記録,2015,男子,【総合記録】2015年男子で優勝した玉名の総合記録は63:47である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が63:47。,input/aragyoku/transcripts/2015-男子.json,teams[rank=1].total
64,総合記録,2015,男子,【総合記録】2015年男子で優勝した玉名の総合記録は63:48である。 ○か×か。,×,文字起こしの1位行では玉名は63:47であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2015-男子.json,teams[rank=1].total
65,総合記録,2016,女子,【総合記録】2016年女子で優勝した荒尾三の総合記録は40:59である。 ○か×か。,○,文字起こしの1位行では荒尾三の総合記録が40:59。,input/aragyoku/transcripts/2016-女子.json,teams[rank=1].total
66,総合記録,2016,女子,【総合記録】2016年女子で優勝した荒尾三の総合記録は41:00である。 ○か×か。,×,文字起こしの1位行では荒尾三は40:59であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2016-女子.json,teams[rank=1].total
67,総合記録,2016,男子,【総合記録】2016年男子で優勝した菊水の総合記録は62:53である。 ○か×か。,○,文字起こしの1位行では菊水の総合記録が62:53。,input/aragyoku/transcripts/2016-男子.json,teams[rank=1].total
68,総合記録,2016,男子,【総合記録】2016年男子で優勝した菊水の総合記録は62:54である。 ○か×か。,×,文字起こしの1位行では菊水は62:53であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2016-男子.json,teams[rank=1].total
69,総合記録,2017,女子,【総合記録】2017年女子で優勝した玉名の総合記録は41:21である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が41:21。,input/aragyoku/transcripts/2017-女子.json,teams[rank=1].total
70,総合記録,2017,女子,【総合記録】2017年女子で優勝した玉名の総合記録は41:22である。 ○か×か。,×,文字起こしの1位行では玉名は41:21であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2017-女子.json,teams[rank=1].total
71,総合記録,2017,男子,【総合記録】2017年男子で優勝した玉名の総合記録は63:07である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が63:07。,input/aragyoku/transcripts/2017-男子.json,teams[rank=1].total
72,総合記録,2017,男子,【総合記録】2017年男子で優勝した玉名の総合記録は63:08である。 ○か×か。,×,文字起こしの1位行では玉名は63:07であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2017-男子.json,teams[rank=1].total
73,総合記録,2018,女子,【総合記録】2018年女子で優勝した玉名の総合記録は41:46である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が41:46。,input/aragyoku/transcripts/2018-女子.json,teams[rank=1].total
74,総合記録,2018,女子,【総合記録】2018年女子で優勝した玉名の総合記録は41:47である。 ○か×か。,×,文字起こしの1位行では玉名は41:46であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2018-女子.json,teams[rank=1].total
75,総合記録,2018,男子,【総合記録】2018年男子で優勝した南関の総合記録は65:08である。 ○か×か。,○,文字起こしの1位行では南関の総合記録が65:08。,input/aragyoku/transcripts/2018-男子.json,teams[rank=1].total
76,総合記録,2018,男子,【総合記録】2018年男子で優勝した南関の総合記録は65:09である。 ○か×か。,×,文字起こしの1位行では南関は65:08であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2018-男子.json,teams[rank=1].total
77,総合記録,2019,女子,【総合記録】2019年女子で優勝した玉名の総合記録は41:31である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が41:31。,input/aragyoku/transcripts/2019-女子.json,teams[rank=1].total
78,総合記録,2019,女子,【総合記録】2019年女子で優勝した玉名の総合記録は41:32である。 ○か×か。,×,文字起こしの1位行では玉名は41:31であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2019-女子.json,teams[rank=1].total
79,総合記録,2020,女子,【総合記録】2020年女子で優勝した玉名の総合記録は42:56である。 ○か×か。,○,文字起こしの1位行では玉名の総合記録が42:56。,input/aragyoku/transcripts/2020-女子.json,teams[rank=1].total
80,総合記録,2020,女子,【総合記録】2020年女子で優勝した玉名の総合記録は42:57である。 ○か×か。,×,文字起こしの1位行では玉名は42:56であり、提示の時刻とは1秒異なる。,input/aragyoku/transcripts/2020-女子.json,teams[rank=1].total
81,区間距離,2012,女子,【区間距離】2012年女子の1区の距離は3kmである。 ○か×か。,○,文字起こしの区間定義で1区は3km。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
82,区間距離,2012,女子,【区間距離】2012年女子の1区の距離は3.2kmである。 ○か×か。,×,文字起こしの区間定義は3kmで、提示の距離ではない。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
83,区間距離,2012,女子,【区間距離】2012年女子の2区の距離は1.855kmである。 ○か×か。,○,文字起こしの区間定義で2区は1.855km。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
84,区間距離,2012,女子,【区間距離】2012年女子の2区の距離は1.955kmである。 ○か×か。,×,文字起こしの区間定義は1.855kmで、提示の距離ではない。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
85,区間距離,2012,女子,【区間距離】2012年女子の3区の距離は2kmである。 ○か×か。,○,文字起こしの区間定義で3区は2km。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
86,区間距離,2012,女子,【区間距離】2012年女子の3区の距離は2.1kmである。 ○か×か。,×,文字起こしの区間定義は2kmで、提示の距離ではない。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
87,区間距離,2012,女子,【区間距離】2012年女子の4区の距離は2kmである。 ○か×か。,○,文字起こしの区間定義で4区は2km。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
88,区間距離,2012,女子,【区間距離】2012年女子の4区の距離は2.1kmである。 ○か×か。,×,文字起こしの区間定義は2kmで、提示の距離ではない。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
89,区間距離,2012,女子,【区間距離】2012年女子の5区の距離は3kmである。 ○か×か。,○,文字起こしの区間定義で5区は3km。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
90,区間距離,2012,女子,【区間距離】2012年女子の5区の距離は3.2kmである。 ○か×か。,×,文字起こしの区間定義は3kmで、提示の距離ではない。,input/aragyoku/transcripts/2012-女子.json,legs[].distance_km
91,選手・区間,2012,女子,【選手・区間】2012年女子で優勝した玉名の1区走者は磧結里である。 ○か×か。,○,文字起こしでは玉名の1区が磧結里、2区が森澤彩乃。,input/aragyoku/transcripts/2012-女子.json,teams[rank=1].legs[leg=1].name
92,選手・区間,2012,女子,【選手・区間】2012年女子で優勝した玉名の1区走者は森澤彩乃である。 ○か×か。,×,文字起こしでは森澤彩乃は2区走者で、1区は磧結里。,input/aragyoku/transcripts/2012-女子.json,teams[rank=1].legs[leg=1].name
93,選手・区間,2012,男子,【選手・区間】2012年男子で優勝した玉名の1区走者は田上 建である。 ○か×か。,○,文字起こしでは玉名の1区が田上 建、2区が吉田 成帆。,input/aragyoku/transcripts/2012-男子.json,teams[rank=1].legs[leg=1].name
94,選手・区間,2012,男子,【選手・区間】2012年男子で優勝した玉名の1区走者は吉田 成帆である。 ○か×か。,×,文字起こしでは吉田 成帆は2区走者で、1区は田上 建。,input/aragyoku/transcripts/2012-男子.json,teams[rank=1].legs[leg=1].name
95,選手・区間,2013,女子,【選手・区間】2013年女子で優勝した玉名の1区走者は森澤彩乃である。 ○か×か。,○,文字起こしでは玉名の1区が森澤彩乃、2区が磧結里。,input/aragyoku/transcripts/2013-女子.json,teams[rank=1].legs[leg=1].name
96,選手・区間,2013,女子,【選手・区間】2013年女子で優勝した玉名の1区走者は磧結里である。 ○か×か。,×,文字起こしでは磧結里は2区走者で、1区は森澤彩乃。,input/aragyoku/transcripts/2013-女子.json,teams[rank=1].legs[leg=1].name
97,選手・区間,2013,男子,【選手・区間】2013年男子で優勝した玉名の1区走者は田上建である。 ○か×か。,○,文字起こしでは玉名の1区が田上建、2区が西山 凌。,input/aragyoku/transcripts/2013-男子.json,teams[rank=1].legs[leg=1].name
98,選手・区間,2013,男子,【選手・区間】2013年男子で優勝した玉名の1区走者は西山 凌である。 ○か×か。,×,文字起こしでは西山 凌は2区走者で、1区は田上建。,input/aragyoku/transcripts/2013-男子.json,teams[rank=1].legs[leg=1].name
99,選手・区間,2014,男子,【選手・区間】2014年男子で優勝した菊水の1区走者は柴尾一樹である。 ○か×か。,○,文字起こしでは菊水の1区が柴尾一樹、2区が髙木大輔。,input/aragyoku/transcripts/2014-男子.json,teams[rank=1].legs[leg=1].name
100,選手・区間,2014,男子,【選手・区間】2014年男子で優勝した菊水の1区走者は髙木大輔である。 ○か×か。,×,文字起こしでは髙木大輔は2区走者で、1区は柴尾一樹。,input/aragyoku/transcripts/2014-男子.json,teams[rank=1].legs[leg=1].name
101,優勝回数の傾向,2012-2025,男女,【優勝回数の傾向】2012〜2025年の男女合計で、玉名の優勝回数は13回である。 ○か×か。,○,男子5回＋女子8回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across all transcripts
102,優勝回数の傾向,2012-2025,男女,【優勝回数の傾向】2012〜2025年の男女合計で、玉名の優勝回数は12回である。 ○か×か。,×,男子5回＋女子8回で、合計13回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across all transcripts
103,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】2012〜2025年の男子で、玉名の優勝回数は5回である。 ○か×か。,○,男子の年別1位を集計すると玉名は5回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 男子 transcripts
104,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】2012〜2025年の男子で、玉名の優勝回数は4回である。 ○か×か。,×,男子の年別1位を集計すると玉名は5回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 男子 transcripts
105,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】2012〜2025年の男子で、菊水の優勝回数は5回である。 ○か×か。,○,男子の年別1位を集計すると菊水は5回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 男子 transcripts
106,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】2012〜2025年の男子で、菊水の優勝回数は4回である。 ○か×か。,×,男子の年別1位を集計すると菊水は5回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 男子 transcripts
107,優勝回数の傾向,2012-2025,女子,【優勝回数の傾向】2012〜2025年の女子で、玉名の優勝回数は8回である。 ○か×か。,○,女子の年別1位を集計すると玉名は8回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 女子 transcripts
108,優勝回数の傾向,2012-2025,女子,【優勝回数の傾向】2012〜2025年の女子で、玉名の優勝回数は7回である。 ○か×か。,×,女子の年別1位を集計すると玉名は8回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 女子 transcripts
109,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】2012〜2025年の男子の優勝校は、異なる学校が5校ある。 ○か×か。,○,優勝校は玉名・菊水・南関・玉南・荒尾四の5校。,input/aragyoku/transcripts/,distinct teams[rank=1].team across 男子 transcripts
