year,rank,team,total,leg,name,grade,split,cumulative,source_drive_id
2025,1,玉名,41:58,1,川原芽吹,2,10:16,10:16,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,2,内田愛祐,2,6:43,16:59,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,3,辻美空,3,6:59,23:58,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,4,内田千惺,3,6:56,30:54,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,1,玉名,41:58,5,水本星夏,2,11:04,41:58,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,1,稗島葵音,3,11:00,11:00,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,2,米田美空,2,7:12,18:12,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,3,福山結衣,1,6:57,25:09,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,4,堀田稔々,2,7:24,32:33,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,2,南関,43:45,5,平山果朋,3,11:12,43:45,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,1,坂村優奈,3,11:03,11:03,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,2,榎本佳澄,2,7:04,18:07,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,3,藤野四季,3,7:32,25:39,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,4,伊牟田百香,3,7:37,33:16,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,3,玉東,44:24,5,上村百叶,2,11:08,44:24,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,1,中村羽音,2,11:08,11:08,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,2,山川綾,1,7:03,18:11,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,3,濱北愛,1,7:13,25:24,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,4,村里唯花,2,7:53,33:17,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2025,4,長洲,44:33,5,猿渡愛梨,2,11:16,44:33,1-qackGYGwVuX6LikAryfiCLRmwgNVkWK
2024,1,南関,42:25,1,田畑結愛,3,11:01,11:01,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,1,南関,42:25,2,米田美空,1,6:49,17:50,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,1,南関,42:25,3,川下結音,3,7:02,24:52,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,1,南関,42:25,4,稗島葵音,2,6:58,31:50,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,1,南関,42:25,5,平山果朋,2,10:35,42:25,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,2,荒尾三,42:36,1,内野花笑,3,10:55,10:55,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,2,荒尾三,42:36,2,庄山瑠那,1,6:25,17:20,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,2,荒尾三,42:36,3,山道咲空,2,7:09,24:29,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,2,荒尾三,42:36,4,吉本琉音,2,7:25,31:54,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,2,荒尾三,42:36,5,中尾美空,3,10:42,42:36,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,3,玉名,43:02,1,東果凛,3,10:27,10:27,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,3,玉名,43:02,2,辻美空,2,6:51,17:18,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,3,玉名,43:02,3,川原芽吹,1,6:53,24:11,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,3,玉名,43:02,4,堺菜々美,3,7:32,31:43,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,3,玉名,43:02,5,内田愛祐,1,11:19,43:02,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,4,長洲,43:21,1,福田みさ,3,10:17,10:17,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,4,長洲,43:21,2,中村羽音,1,6:43,17:00,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,4,長洲,43:21,3,猿渡愛梨,1,7:09,24:09,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,4,長洲,43:21,4,池田早希,3,7:44,31:53,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2024,4,長洲,43:21,5,中島美羽,3,11:28,43:21,1WDoNUHfL23mTudpm_-eUIbyeMn3EGtZg
2023,1,荒尾三,42:32,1,内野花笑,2,10:30,10:30,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,1,荒尾三,42:32,2,山道咲空,1,6:34,17:04,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,1,荒尾三,42:32,3,田尻明,3,7:16,24:20,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,1,荒尾三,42:32,4,柿本和花,3,7:34,31:54,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,1,荒尾三,42:32,5,中尾美空,2,10:38,42:32,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,1,松山悠南,3,9:59,9:59,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,2,中尾杏朱,2,6:49,16:48,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
2023,2,荒尾四,42:45,3,宮本奈英,1,7:35,24:23,1FEhuWOmRsolozWeSkP4KPDTh68-MwpyV
