title,date,end_date,all_day,start_time,end_time,category,status,tags,urls,description,location,private,kind
元日,2024-01-01,2024-01-01,true,,,祝日,,holiday,,日本の祝日,,false,event
成人の日,2024-01-08,2024-01-08,true,,,祝日,,holiday,,日本の祝日,,false,event
長洲マラソン,2024-01-08,2024-01-08,true,,,予定,scheduled,,,,,false,event
郡市対抗熊日女子駅伝,2024-01-28,2024-01-28,true,,,予定,scheduled,,,,,false,event
有給,2024-01-29,2024-01-29,true,,,予定,scheduled,,,,,false,event
熊日駅伝,2024-02-10,2024-02-10,true,,,予定,scheduled,,,,,false,event
建国記念の日,2024-02-11,2024-02-11,true,,,祝日,,holiday,,日本の祝日,,false,event
建国記念の日 振替休日,2024-02-12,2024-02-12,true,,,祝日,,holiday,,日本の祝日,,false,event
熊本城マラソン,2024-02-18,2024-02-18,true,,,予定,scheduled,,,,,false,event
有給,2024-02-19,2024-02-19,true,,,予定,scheduled,,,,,false,event
勉強会,2024-02-20,2024-02-20,false,10:30,,予定,scheduled,,,,,false,event
飲み会,2024-02-22,2024-02-22,true,,,予定,scheduled,,,,,false,event
天皇誕生日,2024-02-23,2024-02-23,true,,,祝日,,holiday,,日本の祝日,,false,event
陸上部お別れ会,2024-03-09,2024-03-09,true,,,予定,scheduled,,,,,false,event
金栗駅伝,2024-03-10,2024-03-10,true,,,予定,scheduled,,,,,false,event
会社の飲み会,2024-03-15,2024-03-15,true,,,予定,scheduled,,,,,false,event
LAST RACE in KYUSHU 2024,2024-03-16,2024-03-16,true,,,予定,scheduled,,,"ARITA UNITED
何人必要？
11時〜17時くらい
前日はなるべく空けてほしい
",,false,event
春分の日,2024-03-20,2024-03-20,true,,,祝日,,holiday,,日本の祝日,,false,event
大牟田春季記録会,2024-03-23,2024-03-23,true,,,予定,scheduled,,,,,false,event
自分の練習,2024-04-14,2024-04-14,true,,,予定,done,"ランニング, 自分の練習",,"ペース: k/4'15
距離: 7.05km
時間: 30'00",,false,event
飲み会,2024-04-19,2024-04-19,true,,,予定,scheduled,,,,,false,event
昭和の日,2024-04-29,2024-04-29,true,,,祝日,,holiday,,日本の祝日,,false,event
憲法記念日,2024-05-03,2024-05-03,true,,,祝日,,holiday,,日本の祝日,,false,event
みどりの日,2024-05-04,2024-05-04,true,,,祝日,,holiday,,日本の祝日,,false,event
こどもの日,2024-05-05,2024-05-05,true,,,祝日,,holiday,,日本の祝日,,false,event
こどもの日 振替休日,2024-05-06,2024-05-06,true,,,祝日,,holiday,,日本の祝日,,false,event
ガチマナ会,2024-05-21,2024-05-21,false,10:30,,予定,scheduled,,,,,false,event
高校総体陸上,2024-05-31,2024-05-31,true,,,予定,scheduled,,,,,false,event
中学選手権,2024-06-08,2024-06-08,true,,,予定,scheduled,,,,,false,event
通信陸上,2024-06-22,2024-06-22,true,,,予定,scheduled,,,,,false,event
土山有給,2024-06-24,2024-06-24,true,,,予定,scheduled,,,,,false,event
長距離記録会,2024-07-06,2024-07-06,true,,,予定,scheduled,,,,,false,event
海の日,2024-07-15,2024-07-15,true,,,祝日,,holiday,,日本の祝日,,false,event
県中体連陸上,2024-07-20,2024-07-20,true,,,予定,scheduled,,,,,false,event
土山有給,2024-07-22,2024-07-22,true,,,予定,scheduled,,,,,false,event
熊本市陸上競技協会,2024-07-27,2024-07-27,true,,,予定,scheduled,,,,,false,event
荒尾の記録会,2024-07-28,2024-07-28,true,,,予定,scheduled,,,,,false,event
玉名選手権,2024-08-03,2024-08-03,true,,,予定,scheduled,,,,,false,event
ATRC  & LTC 合同サマータイムトライアル,2024-08-04,2024-08-04,true,,,予定,scheduled,,,,,false,event
山の日,2024-08-11,2024-08-11,true,,,祝日,,holiday,,日本の祝日,,false,event
山の日 振替休日,2024-08-12,2024-08-12,true,,,祝日,,holiday,,日本の祝日,,false,event
有休,2024-08-13,2024-08-13,true,,,予定,scheduled,,,,,false,event
有休,2024-08-14,2024-08-14,true,,,予定,scheduled,,,,,false,event
