year,date,title,type,group,distance_m,distance_km,laps,reps,pace,intensity,rest_sec,rest,label,parse_source,parse_confidence
2025,2025-06-05,いだてん岱明練習,jog,,,4.48,8,,k/4:16,,,,,practice_field,full
2025,2025-06-05,いだてん岱明練習,jog,,,3.36,6,,k/4:16,,,,,practice_field,full
2025,2025-06-21,いだてん岱明練習,set,,,,,,,,,,800m組 600m+300m 600m k/3:30 / 300m k/3:10,practice_field,full
2025,2025-06-21,いだてん岱明練習,set,,,,,,,,,,1500m組 900m+600m 900m k/3:30 / 600m k/3:10,practice_field,full
2025,2025-06-21,いだてん岱明練習,set,,,,,,,,,,800m組 600m+300m k/3:30 / 300m k/3:10,practice_field,full
2025,2025-06-21,いだてん岱明練習,set,,,,,,,,,,1500m組 900m+600m k/3:30 / 600m k/3:10,practice_field,full
2025,2025-06-21,いだてん岱明練習,set,,,,,,,,,,800m組 600m+300m 600m k/3:10 / 300m k/3:30,practice_field,full
2025,2025-06-21,いだてん岱明練習,set,,,,,,,,,,1500m組 900m+600m 900m k/3:10 / 600m k/3:30,practice_field,full
2025,2025-07-05,いだてん岱明練習,jog,,,5.0,,,k/4:28,,,,,practice_field,full
2025,2025-07-05,いだてん岱明練習,jog,,,4.0,,,k/4:55,,,,,practice_field,full
2025,2025-07-12,いだてん岱明練習,set,,,,,,,,,,1500m組 600m+300m 600m k/3:10 / 300m k/3:00,practice_field,full
2025,2025-07-12,いだてん岱明練習,set,,,,,,,,,,800m組 300m+300m k/3:00,practice_field,full
2025,2025-07-12,いだてん岱明練習,set,,,,,,,,,,3000m組 900m+300m 900m k/3:20 / 300m k/3:00,practice_field,full
2025,2025-07-12,いだてん岱明練習,set,,,,,,,,,,1500m組 600m+300m k/3:10 / 300m k/3:00,practice_field,full
2025,2025-07-12,いだてん岱明練習,set,,,,,,,,,,3000m組 900m+300m k/3:20 / 300m k/3:00,practice_field,full
2025,2025-07-12,いだてん岱明練習,set,,,,,,,,,,1500m組 600m+300m 600m k/3:00 / 300m k/3:10,practice_field,full
2025,2025-07-19,いだてん岱明練習,jog,,,4.48,8,,k/4:28,,,,,practice_field,full
2025,2025-07-19,いだてん岱明練習,jog,,,3.36,6,,k/5:21,,,,,practice_field,full
2025,2025-07-26,いだてん岱明練習,set,,,,,,,,,,600m （300m63秒/300m組） 600m k/3:30,practice_field,full
2025,2025-07-26,いだてん岱明練習,set,,,,,,,,,,600m （300m69秒/300m組） 600m k/3:50,practice_field,full
2025,2025-08-07,いだてん岱明練習（午前）,jog,,,6.29,10,,k/4:39,,,,,practice_field,full
2025,2025-08-07,いだてん岱明練習（午後）,set,,,,,,,,,,男子900m 1本目 900m k/4:00,practice_field,full
2025,2025-08-07,いだてん岱明練習（午後）,set,,,,,,,,,,女子600m 1本目 600m k/4:00,practice_field,full
2025,2025-08-07,いだてん岱明練習（午後）,set,,,,,,,,,,男子900m 2本目 900m k/3:50,practice_field,full
2025,2025-08-07,いだてん岱明練習（午後）,set,,,,,,,,,,女子600m 2本目 600m k/3:50,practice_field,full
2025,2025-08-07,いだてん岱明練習（午後）,set,,,,,,,,,,男子900m 3本目 900m k/3:40,practice_field,full
2025,2025-08-07,いだてん岱明練習（午後）,set,,,,,,,,,,女子600m 3本目 600m k/3:40,practice_field,full
2025,2025-08-09,いだてん岱明練習,jog,,,6.29,12,,k/4:39,,,,,practice_field,full
2025,2025-08-12,いだてん岱明練習,jog,,,6.26,12,,k/4:55,,,,,practice_field,full
2025,2025-08-21,いだてん岱明練習（午前）,jog,,,6.13,12,,k/4:44,,,,,practice_field,full
2025,2025-08-21,いだてん岱明練習（午後）,jog,,,3.36,6,,k/4:18,,,,,practice_field,full
2025,2025-08-21,いだてん岱明練習（午後）,set,,,,,,,,,,200m ×5 男子 200m×5 k/3:10〜k/3:20,practice_field,full
2025,2025-08-21,いだてん岱明練習（午後）,set,,,,,,,,,,200m ×5 女子 200m×5 k/3:30〜k/3:40,practice_field,full
2025,2025-09-15,いだてん岱明練習,jog,,,2.24,4,,k/3:52,,,,,practice_field,full
2025,2025-09-15,いだてん岱明練習,set,男子,,,,,,,,,男子 追加2周（設定） 1.12km (2周) k/3:16,practice_field,full
2025,2025-09-15,いだてん岱明練習,set,男子,,,,,,,,,男子 追加2周（実際） 1.12km (2周) k/3:07,practice_field,full
2025,2025-09-15,いだてん岱明練習,set,女子,,,,,,,,,女子 追加2周（設定） 1.12km (2周) k/3:52,practice_field,full
2025,2025-09-15,いだてん岱明練習,set,女子,,,,,,,,,女子 追加2周（実際） 1.12km (2周) k/3:34,practice_field,full
2025,2025-09-16,いだてん岱明練習,jog,,,5.11,10,,k/4:24,,,,,practice_field,full
2025,2025-09-23,いだてん岱明練習,jog,,,6.34,12,,k/4:23,,,,,practice_field,full
2025,2025-10-04,いだてん岱明練習,jog,,,6.3,12,,k/4:39,,,,,practice_field,full
2025,2025-10-11,いだてん岱明練習,jog,,,6.23,12,,k/4:19,,,,,practice_field,full
2025,2025-10-13,いだてん岱明練習,jog,,,2.24,4,,k/3:45,,,,,practice_field,full
2025,2025-10-13,いだてん岱明練習,set,男子,,,,,,,,,男子 1000m+500m 1000m k/3:20 / 500m k/2:48,practice_field,full
2025,2025-10-20,いだてん岱明練習,jog,,,4.95,10,,k/5:07,,,,,practice_field,full
2025,2025-10-25,いだてん岱明練習,jog,,,3.1,6,,k/4:02,,,,,practice_field,full
2025,2025-11-01,いだてん岱明練習,jog,,,6.13,12,,k/4:59,,,,,practice_field,full
2025,2025-11-03,いだてん岱明練習,jog,,,3.08,6,,k/4:03,,,,,practice_field,full
2025,2025-11-03,いだてん岱明練習,set,,,,,,,,,,300m 1本目 300m k/3:23,practice_field,full
2025,2025-11-03,いだてん岱明練習,set,,,,,,,,,,300m 2本目 300m k/3:17,practice_field,full
2025,2025-11-03,いだてん岱明練習,set,,,,,,,,,,300m 3本目 300m k/3:13,practice_field,full
2025,2025-11-03,いだてん岱明練習,set,,,,,,,,,,300m 4本目 300m k/3:00,practice_field,full
2025,2025-11-08,いだてん岱明練習,jog,,,3.17,6,,k/5:02,,,,,practice_field,full
2025,2025-11-08,いだてん岱明練習,set,,,,,,,,,,600m ×2（54秒/300m組） 600m×2 k/3:00,practice_field,full
2025,2025-11-08,いだてん岱明練習,set,,,,,,,,,,600m ×2（57秒/300m組） 600m×2 k/3:10,practice_field,full
2025,2025-11-08,いだてん岱明練習,set,,,,,,,,,,600m ×2（60秒/300m組） 600m×2 k/3:20,practice_field,full
2025,2025-11-08,いだてん岱明練習,set,,,,,,,,,,600m ×2（63秒/300m組） 600m×2 k/3:30,practice_field,full
2025,2025-11-08,いだてん岱明練習,interval,,600,,,2,,,,,,practice_field,full
2025,2025-11-08,いだてん岱明練習,interval,,600,,,2,,,,,,practice_field,full
2025,2025-11-08,いだてん岱明練習,interval,,600,,,2,,,,,,practice_field,full
2025,2025-11-08,いだてん岱明練習,interval,,600,,,2,,,,,,practice_field,full
2025,2025-11-15,いだてん岱明練習,jog,,,3.26,6,,k/5:08,,,,,practice_field,full
2025,2025-11-24,いだてん岱明練習,jog,,,3.22,6,,k/5:16,,,,,practice_field,full
