Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
元日,01/01/2026,,01/01/2026,,True,"日本の祝日

Tags: holiday",,False
成人の日,01/12/2026,,01/12/2026,,True,"日本の祝日

Tags: holiday",,False
定例ミーティング,01/15/2026,10:00 AM,01/15/2026,11:00 AM,False,"サンプルの時刻付き予定

Status: scheduled
Tags: work, meeting",オンライン,False
建国記念の日,02/11/2026,,02/11/2026,,True,"日本の祝日

Tags: holiday",,False
天皇誕生日,02/23/2026,,02/23/2026,,True,"日本の祝日

Tags: holiday",,False
健康診断,03/10/2026,,03/10/2026,,True,"サンプルの終日予定

Status: next
Tags: health, personal
URLs:
- https://example.com/health-check",,False
春分の日,03/20/2026,,03/20/2026,,True,"日本の祝日

Tags: holiday",,False
昭和の日,04/29/2026,,04/29/2026,,True,"日本の祝日

Tags: holiday",,False
憲法記念日,05/03/2026,,05/03/2026,,True,"日本の祝日

Tags: holiday",,False
みどりの日,05/04/2026,,05/04/2026,,True,"日本の祝日

Tags: holiday",,False
こどもの日,05/05/2026,,05/05/2026,,True,"日本の祝日

Tags: holiday",,False
憲法記念日 振替休日,05/06/2026,,05/06/2026,,True,"日本の祝日

Tags: holiday",,False
海の日,07/20/2026,,07/20/2026,,True,"日本の祝日

Tags: holiday",,False
玉名選手権,08/01/2026,,08/01/2026,,True,"Status: scheduled
Tags: sports",,False
山の日,08/11/2026,,08/11/2026,,True,"日本の祝日

Tags: holiday",,False
敬老の日,09/21/2026,,09/21/2026,,True,"日本の祝日

Tags: holiday",,False
国民の休日,09/22/2026,,09/22/2026,,True,"日本の祝日

Tags: holiday",,False
秋分の日,09/23/2026,,09/23/2026,,True,"日本の祝日

Tags: holiday",,False
スポーツの日,10/12/2026,,10/12/2026,,True,"日本の祝日

Tags: holiday",,False
文化の日,11/03/2026,,11/03/2026,,True,"日本の祝日

Tags: holiday",,False
勤労感謝の日,11/23/2026,,11/23/2026,,True,"日本の祝日

Tags: holiday",,False
