Name,Date,End Date,Category,Description,Location,All Day
元日,2026-01-01,2026-01-01,祝日,日本の祝日,,true
成人の日,2026-01-12,2026-01-12,祝日,日本の祝日,,true
定例ミーティング,2026-01-15T10:00:00,2026-01-15T11:00:00,予定,サンプルの時刻付き予定,オンライン,false
建国記念の日,2026-02-11,2026-02-11,祝日,日本の祝日,,true
天皇誕生日,2026-02-23,2026-02-23,祝日,日本の祝日,,true
健康診断,2026-03-10,2026-03-10,予定,サンプルの終日予定,,true
春分の日,2026-03-20,2026-03-20,祝日,日本の祝日,,true
昭和の日,2026-04-29,2026-04-29,祝日,日本の祝日,,true
憲法記念日,2026-05-03,2026-05-03,祝日,日本の祝日,,true
みどりの日,2026-05-04,2026-05-04,祝日,日本の祝日,,true
こどもの日,2026-05-05,2026-05-05,祝日,日本の祝日,,true
憲法記念日 振替休日,2026-05-06,2026-05-06,祝日,日本の祝日,,true
海の日,2026-07-20,2026-07-20,祝日,日本の祝日,,true
小泉さん・皆川さん訪問,2026-07-27,2026-07-29,予定,,,true
玉名選手権,2026-08-01,2026-08-01,予定,,,true
山の日,2026-08-11,2026-08-11,祝日,日本の祝日,,true
敬老の日,2026-09-21,2026-09-21,祝日,日本の祝日,,true
国民の休日,2026-09-22,2026-09-22,祝日,日本の祝日,,true
秋分の日,2026-09-23,2026-09-23,祝日,日本の祝日,,true
スポーツの日,2026-10-12,2026-10-12,祝日,日本の祝日,,true
文化の日,2026-11-03,2026-11-03,祝日,日本の祝日,,true
勤労感謝の日,2026-11-23,2026-11-23,祝日,日本の祝日,,true
