year,date,title,type,group,distance_m,distance_km,laps,reps,pace,intensity,rest_sec,rest,label,absentees,parse_source,parse_confidence
2026,2026-07-21,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-21,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-07-23,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-23,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-07-24,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-24,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-07-27,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-27,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-07-28,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-28,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-07-29,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-29,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-07-31,いだてん岱明夕練,interval,,600,,,2,,RP,,,,,practice_field,full
2026,2026-07-31,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-07-31,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-08-03,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
2026,2026-08-03,いだてん岱明朝練,interval,女子,,2.0,,2,,,,,,,practice_field,full
2026,2026-08-03,いだてん岱明夕練,set,,,,,,,,,,300m 1本目 300m k/3:28,,practice_field,full
2026,2026-08-03,いだてん岱明夕練,set,,,,,,,,,,300m 2本目 300m k/3:22,,practice_field,full
2026,2026-08-03,いだてん岱明夕練,set,,,,,,,,,,300m 3本目 300m k/3:24,,practice_field,full
2026,2026-08-03,いだてん岱明夕練,set,,,,,,,,,,300m 4本目 300m k/3:23,,practice_field,full
2026,2026-08-03,いだてん岱明夕練,set,,,,,,,,,,300m 5本目 300m k/3:22,,practice_field,full
2026,2026-08-04,いだてん岱明朝練,interval,男子,,2.5,,2,,,,,,,practice_field,full
