開催日,時刻,天気,降水量_mm,気温_C,湿度_pct,平均風速_m_s,風向,出典
2025-10-15,10:00,降水なし,0.0,28.5,64,0.9,南,気象庁アメダス岱明
2025-10-15,12:00,降水なし,0.0,29.0,64,1.9,南,気象庁アメダス岱明
2024-10-16,10:00,降水なし,0.0,28.8,60,2.1,北北西,気象庁アメダス岱明
2024-10-16,12:00,降水なし,0.0,30.3,56,3.7,北西,気象庁アメダス岱明
2023-10-18,10:00,降水なし,0.0,20.4,66,0.9,南南東,気象庁アメダス岱明
2023-10-18,12:00,降水なし,0.0,22.8,56,1.8,南西,気象庁アメダス岱明
2022-10-19,10:00,降水なし,0.0,19.2,,2.1,北北西,気象庁アメダス岱明
2022-10-19,12:00,降水なし,0.0,22.0,,3.1,北北西,気象庁アメダス岱明
2021-10-20,10:00,降水なし,0.0,17.4,,0.7,北東,気象庁アメダス岱明
2021-10-20,12:00,降水なし,0.0,19.7,,2.2,西,気象庁アメダス岱明
2020-10-21,10:00,降水なし,0.0,21.2,,1.1,西,気象庁アメダス岱明
2020-10-21,12:00,降水なし,0.0,23.2,,1.6,南西,気象庁アメダス岱明
2019-10-16,10:00,降水なし,0.0,20.1,,1.7,北西,気象庁アメダス岱明
2019-10-16,12:00,降水なし,0.0,23.9,,2.0,北北西,気象庁アメダス岱明
2018-10-17,10:00,降水なし,0.0,19.2,,2.5,北北西,気象庁アメダス岱明
2018-10-17,12:00,降水なし,0.0,22.2,,3.1,北北西,気象庁アメダス岱明
2017-10-18,10:00,降水なし,0.0,18.8,,2.3,北北西,気象庁アメダス岱明
2017-10-18,12:00,降水なし,0.0,19.2,,2.6,北西,気象庁アメダス岱明
2016-10-19,10:00,降水なし,0.0,22.6,,0.6,西南西,気象庁アメダス岱明
2016-10-19,12:00,降水なし,0.0,23.8,,0.8,西北西,気象庁アメダス岱明
2015-10-21,10:00,降水なし,0.0,22.7,,0.8,北,気象庁アメダス岱明
2015-10-21,12:00,降水なし,0.0,25.2,,3.2,西北西,気象庁アメダス岱明
2014-10-22,10:00,降水なし,0.0,20.8,,1.4,北西,気象庁アメダス岱明
2014-10-22,12:00,降水なし,0.0,21.6,,3.3,北西,気象庁アメダス岱明
2013-10-23,10:00,降水なし,0.0,21.9,,5.2,北,気象庁アメダス岱明
2013-10-23,12:00,降水なし,0.0,22.3,,4.5,北北西,気象庁アメダス岱明
2012-10-24,10:00,降水なし,0.0,15.7,,0.4,南西,気象庁アメダス岱明
2012-10-24,12:00,降水なし,0.0,18.4,,1.3,北西,気象庁アメダス岱明
